2018.11.06 01:33:35 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2018.11.06 01:33:35 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2018.11.06 01:33:35 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2018.11.06 01:33:35 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@4768292a [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@150b49e [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@443eb808 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@56cf8b7f [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@4d7f7d7a [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@57bdf894 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@1ef0daa6 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@43d6a5be [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2018.11.06 01:33:35 INFO  web[][o.s.s.p.Platform] WebServer is operational
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 6.5.0.3766 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'java' version : 4.15.0.12310 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 3.2.0.5506 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'php' version : 2.11.0.2485 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'python' version : 1.8.0.1496 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'scmgit' version : 1.3.0.869 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'scmsvn' version : 1.6.0.860 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'typescript' version : 1.1.0.1079 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'xml' version : 1.4.3.1027 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 6.5.0.3766 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'java' version : 4.15.0.12310 has not been found on the update center.
